#,"Nice, and you are:",Ethnic Group Code,Monthly Household Income,District Code,Tertiary Institute,Tertiary_Other,What's the name of the tertiary institute?,"I have a certain amount of intelligence, and I can't really do much to change it.",My intelligence is something that I cannot change very much.,"I believe that no matter who you are, you can significantly change your intelligence level.",I believe that you can't really change how intelligent you are.,I believe that you can always substantially change how intelligent you are.,"You can learn new things, but you can't really change your basic intelligence.","No matter how much intelligence you have, whether high or low, you can always change it to quite a degree.",I can change even my basic intelligence level considerably.,"People have a certain amount of talent, and you can't really do much to change it.",Your talent is something you can't change very much.,"No matter who you are, you can significantly change your level of talent.","To be honest, you can't really change how much talent you have.",You can always substantially change how much talent you have.,"I can learn new things, but I can't really change my basic level of talent.","No matter how much talent you have, you can always change it quite a bit.",You can change even your basic talent level considerably.,I can make unpopular or difficult decisions that affect other people if necessary.,I don't think of myself as a strong person when dealing with life's challenges and difficulties.,"Under pressure, I stay focused and think clearly.","I prefer to take the lead in solving problems, rather than letting others make all the decisions.",I feel in control of my life.,I try to see the funny side of things when I am faced with problems.,"Good or bad, I believe that most things happen for a reason.",I don't believe that I can achieve my goals if there are problems.,"I work to attain my goals, no matter what problems I encounter along the way.",Having to cope with stress can make me stronger.,"On a whole, I am satisfied with myself.","At times, I think I'm no good at all.",I feel that I have a number of good qualities.,I am able to do things as well as most people.,I feel I do not have much to be proud of.,I certainly feel useless at times.,"I feel that I'm a person of worth, at least on an equal plane with others.",I wish I could have more respect for myself.,"All in all, I am inclined to feel that I am a failure.",I take a positive attitude towards myself.,I can always manage to solve difficult problems if I try hard enough.,"If someone opposes me, I can find means and ways to get what I want.",It is easy for me to stick to my aims and accomplish my goals.,I am confident that I can efficiently deal with unexpected events.,"Thanks to my resourcefulness, I know how to handle unforeseen situations.",I can solve most problems if I invest the necessary effort.,I can remain calm when facing difficulties because I can rely on my coping abilities.,"When I am confronted with a problem, I can usually find several solutions.","If I'm in a bind, I can usually think of something to do.","No matter what comes my way, I'm usually able to handle it.",It's fun to learn about unfamiliar subjects.,It's fascinating to learn new information.,I enjoy exploring new ideas.,"If I get to learn something new, I like to find out more.",It's fun to discuss abstract concepts.,I paint an interesting picture of the future for my group.,I'm always seeking new opportunities for my group.,I inspire my group with my plan for the future.,I have a clear understanding of where we are going.,I'm able to get others committed to my dream.,I would describe myself as someone who actively seeks as much information as I can in a new situation.,"When I am participating in an activity, I tend to get so involved that I lose track of time.",I frequently find myself looking for new opportunities to grow as a person.,I am <strong>not</strong> the type of person who probes deeply into new situations or things.,"When I am actively interested in something, it takes a great deal to interrupt me.",My friends would describe me as someone who is 'extremely intense' when in the middle of doing something.,"Everywhere I go, I am out looking for new things or experiences.",I am able to finish all my work during a set amount of time.,I know all the tasks I have to accomplish for the day.,I am able to plan and set goals for my projects.,I can set aside distractions and focus on what I am doing.,I set up a schedule for tasks and projects to be done.,I am sensitive to what others are not saying.,I am aware of what others imply but do not say.,I understand how others feel.,I listen for more than just the spoken words.,I assure others that I will remember what they say.,I summarise points of agreement and disagreement when appropriate.,I keep track of points others make.,I assure others that I am listening by using verbal acknowledgements.,I assure others that I am receptive to their ideas.,I ask questions that show my understanding of others' positions.,"I show others that I am listening through my body language (e.g. head nods, eye contact)",I am able to finish all my work during a set amount of time.,I know all the tasks I have to accomplish for the day.,I am able to plan and set goals for my projects.,I can set aside distractions and focus on what I am doing.,I set up a schedule for tasks and projects to be done.,How much do you contribute ideas/information/resources?,How participatory are you?,What is your typical standard of work quality?,How well do you manage your time?,How much do you support the team?,How prepared are you usually?,How do you participate in group problem solving?,How aware are you of the team dynamics and your impact on the team?,How supportive are you in a team?,How flexible are you between roles?,How self-reflective are you?,Score,Start Date (UTC),Submit Date (UTC),Network ID
9471918eacc1b6be0eda15f93c977bfc,Female,3,"$3,000 to $4,999",18,Polytechnic,,Temasek Polytechnic,5,5,3,4,4,6,5,5,1,1,7,2,6,5,5,5,5,5,4,6,6,5,7,4,5,5,6,6,5,5,5,5,5,6,1,6,6,5,3,3,4,7,6,5,5,5,7,7,7,7,7,3,6,6,3,4,5,6,6,4,5,5,7,6,6,3,3,6,5,5,5,6,4,5,6,5,5,5,7,,,,,,"I usually share ideas, information and resources.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,Self-reflection occurs after collaborative activities when prompted or reminded by others.,7,2018-02-28 07:10:27,2018-02-28 07:28:56,80783d9405
6ff12db5110df9356ff43d04d0df4211,Female,3,"Below $1,000",19,ITE,,Ite east,4,4,4,3,3,3,5,4,4,2,4,4,4,4,5,3,5,4,4,5,4,3,4,4,3,4,6,4,4,3,6,4,4,4,3,5,4,3,4,4,3,5,4,4,4,5,4,5,6,6,6,6,3,4,4,4,4,3,5,5,4,4,4,4,4,4,4,3,4,5,7,6,6,5,5,5,5,6,6,,,,,,"I share ideas, information and resources upon request.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,I usually bring needed materials and come ready to work.,"I make an effort to participate in group problem solving with an open mind. I generally share my thoughts and ideas, but I sometimes inhibit the contributions of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I sometimes listen to, respect, acknowledge, or support the efforts of others. At times I allow conflict of personal differences to interfere with communication.","I am uncomfortable with role flexibility, but attempt to move outside my perceived role.","Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",8,2018-02-28 06:59:32,2018-02-28 07:24:26,9e8f6fd873
6cbea94896329edbc0f0cd9bfdee6e7f,Male,3,"Below $1,000",18,ITE,,ITE College East,6,6,6,6,4,7,7,5,6,6,6,6,6,6,6,6,5,6,6,7,1,4,7,4,6,6,6,5,7,6,5,4,5,6,5,6,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,5,4,6,5,5,5,6,6,6,6,6,6,6,6,6,6,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",10,2018-02-28 07:01:39,2018-02-28 07:17:32,b9a7c95a12
329c2aada1fab3d03be3f9d9466155a9,Male,3,"$7000 to $8,999",18,Polytechnic,,Temasek Polytechnic,3,3,5,3,5,3,5,4,3,3,5,3,5,3,5,3,5,4,4,3,4,4,6,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,3,3,3,3,4,5,5,5,5,5,6,5,6,5,5,6,,,,,,"I usually share ideas, information and resources.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,"I make an effort to bring or find materials needed to work, but often misplace things.","I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.","I am uncomfortable with role flexibility, but attempt to move outside my perceived role.","Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",7,2018-02-28 07:04:17,2018-02-28 07:12:18,11d179d90e
8bf4ac76c95defc4a36b94e2e03e39a1,Female,4,"$3,000 to $4,999",18,ITE,,ITE CE,5,5,5,7,4,7,5,6,7,6,7,1,1,7,7,7,3,4,3,5,3,7,5,6,5,5,5,5,5,6,5,4,6,6,6,7,5,5,5,5,6,4,5,6,5,6,5,6,5,6,4,5,6,7,5,7,7,5,6,7,5,6,4,5,6,6,7,5,7,7,7,7,7,7,7,6,5,6,7,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",9,2018-02-28 07:00:01,2018-02-28 07:08:40,fc6e30e7dc
9c98213898e3cc59942782072e73be96,Male,3,"$5,000 to $6,999",22,ITE,,ITE CW,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,,,,,,"I share ideas, information and resources upon request.",I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",8,2018-02-28 06:23:24,2018-02-28 06:30:33,4f38b7bd28
e04ff94ff563159a6c03ee2f1c78f0a7,Female,3,"$7000 to $8,999",19,ITE,,ITE Collage East,2,2,6,2,4,4,5,3,4,4,5,5,6,5,2,4,4,4,4,2,2,1,5,4,4,3,4,3,3,4,5,3,4,4,1,4,4,4,2,5,5,3,4,4,5,5,4,4,3,5,3,5,3,6,4,4,3,3,4,4,5,3,3,4,5,5,4,3,4,4,4,3,4,2,4,4,5,6,2,,,,,,I freely share ideas information and resources.,I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I make an effort to participate in group problem solving with an open mind. I generally share my thoughts and ideas, but I sometimes inhibit the contributions of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I sometimes listen to, respect, acknowledge, or support the efforts of others. At times I allow conflict of personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I rarely engage in self-reflections after collaborative activities but tend to focus on the behaviour of others.,10,2018-02-28 04:10:49,2018-02-28 04:22:08,da2c02ba26
24c29b7343a25159f8c277a8e01e7f3c,Male,3,"$3,000 to $4,999",19,Polytechnic,,Temasek Poly,3,3,7,3,7,5,5,6,3,2,7,3,3,5,5,5,7,3,7,7,6,5,7,1,7,7,7,3,5,4,3,1,4,5,1,7,7,6,5,6,7,5,6,6,6,6,6,7,6,7,5,4,7,7,6,5,6,7,7,3,6,3,7,6,7,6,5,7,3,7,7,7,5,7,7,7,5,7,7,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I routinely use time well to ensure that things are done on time.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,I consistently use self-reflection after collaborative activities.,10,2018-02-28 01:24:15,2018-02-28 03:33:24,3f9cba8b35
50c9f2622edeeed8427e153bfc8b6e9e,Male,9,"$3,000 to $4,999",12,Polytechnic,,Temasek Polytechnic,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,I freely share ideas information and resources.,I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I routinely use time well to ensure that things are done on time.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,12,2018-02-28 00:07:22,2018-02-28 00:11:58,96eb2982c2
bf12d30fb571958a2306b92afc1a7729,Female,3,"$1,000 to $2,999",27,Polytechnic,,Nanyang Polytechnic,5,5,6,2,7,2,6,5,6,5,7,6,4,7,3,2,7,1,7,6,7,1,7,5,7,7,6,7,5,5,7,7,1,1,7,1,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,5,2,2,7,2,6,5,4,2,7,6,6,7,7,7,6,6,6,7,7,7,7,6,7,7,7,2,6,,,,,,"I share ideas, information and resources upon request.",I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I routinely use time well to ensure that things are done on time.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,10,2018-02-27 16:13:32,2018-02-27 16:23:05,139c6a8804
cd3579c6e8445cc54a4a170e88ee119d,Female,3,"$3,000 to $4,999",23,Polytechnic,,Singapore Poly,2,2,5,3,5,3,5,5,5,3,5,3,5,3,5,5,4,4,3,4,3,3,4,3,5,5,3,5,4,4,5,5,5,7,2,3,5,5,4,4,3,6,5,5,4,4,5,5,5,5,5,4,4,4,4,4,3,4,4,2,4,4,4,4,5,5,4,4,5,5,5,5,4,5,5,5,5,5,7,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,8,2018-02-27 16:02:57,2018-02-27 16:19:46,18964d6f98
ced5f37475d50bf13e6353f129b0d44a,Female,9,"$1,000 to $2,999",27,Polytechnic,,republic polytechnic,6,6,4,4,4,7,3,3,7,7,1,2,1,7,3,2,6,3,7,6,3,1,6,2,6,2,4,6,4,6,5,6,4,4,3,3,6,7,2,2,4,5,5,5,4,5,7,7,7,7,7,4,4,5,3,2,5,6,6,6,6,7,7,7,7,7,5,2,7,7,7,7,7,7,7,7,7,7,7,,,,,,I freely share ideas information and resources.,I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",12,2018-02-27 16:05:29,2018-02-27 16:16:50,5ef1fe546d
5f106ad889e811432bef9cb76194da15,Female,4,"$11,000 to $12,999",22,Junior College,,Jurong,4,3,6,3,5,5,7,4,4,4,3,6,3,7,5,3,2,4,3,3,5,5,7,4,6,3,3,5,4,4,5,5,4,7,4,3,3,3,3,3,3,4,3,2,3,4,5,5,5,4,3,3,3,3,3,3,3,3,3,5,5,4,3,5,5,5,5,5,6,5,5,4,4,4,4,4,4,5,5,,,,,,"I share ideas, information and resources upon request.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I make an effort to participate in group problem solving with an open mind. I generally share my thoughts and ideas, but I sometimes inhibit the contributions of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.","I am uncomfortable with role flexibility, but attempt to move outside my perceived role.",Self-reflection occurs after collaborative activities when prompted or reminded by others.,7,2018-02-27 16:05:35,2018-02-27 16:14:12,fbcf7b2b91
ecb69a26fb641cf87c9b85bd9a6e1a77,Female,4,"Below $1,000",27,ITE,,College West,5,1,7,2,6,3,7,7,7,5,5,4,5,7,7,7,5,4,7,7,2,4,7,1,7,2,3,5,6,6,3,4,5,7,3,4,7,7,7,7,7,7,4,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,,,,,,"I share ideas, information and resources upon request.",I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,"I make an effort to bring or find materials needed to work, but often misplace things.","I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,Self-reflection occurs after collaborative activities when prompted or reminded by others.,10,2018-02-27 15:47:10,2018-02-27 16:00:35,77de5599c6
b732559d353982bf1c8b55b9d654eb20,Female,3,"Below $1,000",27,Polytechnic,,Singapore Polytechnic,4,4,3,5,4,5,4,5,6,5,4,5,3,5,5,4,5,6,4,3,4,1,3,4,5,5,2,7,3,2,5,6,3,6,5,3,4,4,2,3,4,3,2,3,3,4,5,4,4,4,3,3,3,3,3,3,4,3,3,5,3,3,4,2,3,4,1,3,4,5,4,5,4,5,5,5,5,5,5,,,,,,"I share ideas, information and resources upon request.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,I consistently bring needed materials and come ready to work.,"I make an effort to participate in group problem solving with an open mind. I generally share my thoughts and ideas, but I sometimes inhibit the contributions of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.","I am uncomfortable with role flexibility, but attempt to move outside my perceived role.",Self-reflection occurs after collaborative activities when prompted or reminded by others.,7,2018-02-27 15:37:26,2018-02-27 15:53:34,af5862b86b
b9006a9d2334c36e086a255860fd1f9f,Female,4,"$1,000 to $2,999",20,ITE,,College Central,2,2,7,2,7,4,5,5,1,2,4,4,4,3,5,4,3,3,5,6,3,3,7,2,7,5,3,6,5,6,2,6,4,7,6,5,6,5,3,4,5,6,5,3,4,3,6,6,6,6,6,6,6,6,4,4,6,4,4,3,6,4,5,2,4,5,3,2,6,6,6,6,5,6,5,5,5,5,6,,,,,,I freely share ideas information and resources.,I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",10,2018-02-27 15:28:20,2018-02-27 15:41:16,85230732a8
da05937ed2db47a478f3ee38a93fcaf4,Female,3,"$3,000 to $4,999",23,Polytechnic,,Sp,4,4,6,2,6,6,6,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,4,5,4,4,5,4,4,4,3,4,4,3,4,5,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,5,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,5,3,4,4,6,4,4,6,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I am often critical of the team or the work of fellow group members when I am in other settings,I consistently bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",10,2018-02-27 15:26:34,2018-02-27 15:39:21,e75e62dd4f
72524ec88c0dea6e912fc92b739769d2,Male,3,"Below $1,000",22,Junior College,,Pioneer Junior College,4,4,5,3,5,3,6,5,3,4,5,3,5,5,6,5,5,3,4,5,4,5,5,3,4,5,5,5,5,5,4,5,5,5,3,5,5,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,4,4,5,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,10,2018-02-27 15:28:04,2018-02-27 15:37:20,a07ec9d80a
4f04ebe8cd59981dc86557a10d512562,Male,9,"$3,000 to $4,999",12,Polytechnic,,Temasek Polytechnic,6,7,3,5,6,7,6,5,7,4,7,3,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,1,7,7,5,1,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,,,,,,I freely share ideas information and resources.,I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",12,2018-02-27 15:25:32,2018-02-27 15:36:51,78585824b5
b7ac5ce882f513b8c0d65fa9ff65cffa,Female,3,"$7000 to $8,999",22,Polytechnic,,Ngee Ann Polytechnic,2,1,7,1,7,3,7,7,1,1,7,1,1,4,7,6,6,5,3,5,6,2,6,2,6,6,6,5,5,6,6,4,6,5,3,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,5,6,6,6,4,5,6,5,3,4,5,4,5,5,5,4,5,6,7,7,6,6,5,6,6,6,6,6,,,,,,I freely share ideas information and resources.,I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,I consistently bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",10,2018-02-27 15:16:45,2018-02-27 15:28:50,1dbfede8fd
